2026-03-21 11:35:09 | INFO     | 04_injection_mbert | --- mbert/en/seed42 ---
2026-03-21 11:46:54 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 11:46:55 | INFO     | 04_injection_mbert | --- mbert/en/seed123 ---
2026-03-21 11:58:50 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 11:58:50 | INFO     | 04_injection_mbert | --- mbert/en/seed456 ---
2026-03-21 12:10:49 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 12:10:49 | INFO     | 04_injection_mbert | --- mbert/hi/seed42 ---
2026-03-21 12:32:39 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 12:32:39 | INFO     | 04_injection_mbert | --- mbert/hi/seed123 ---
2026-03-21 12:54:54 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 12:54:54 | INFO     | 04_injection_mbert | --- mbert/hi/seed456 ---
2026-03-21 13:17:05 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 13:17:05 | INFO     | 04_injection_mbert | --- mbert/bn/seed42 ---
2026-03-21 13:41:51 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 13:41:51 | INFO     | 04_injection_mbert | --- mbert/bn/seed123 ---
2026-03-21 14:03:52 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 14:03:52 | INFO     | 04_injection_mbert | --- mbert/bn/seed456 ---
2026-03-21 14:24:39 | INFO     | 04_injection_mbert |   20 checkpoints saved
2026-03-21 14:24:39 | INFO     | 04_injection_mbert | Done with mbert
