2026-03-21 11:34:09 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 11:34:09 | INFO     | 04_injection_gemma-3-4b-it | --- gemma-3-4b-it/en/seed42 ---
2026-03-21 11:34:09 | INFO     | src.models.loader | Loading model: gemma-3-4b-it (google/gemma-3-4b-it) in bfloat16
2026-03-21 11:34:10 | INFO     | src.models.loader |   Using Flash Attention 2 for gemma-3-4b-it
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.06s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.24it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.18it/s]
2026-03-21 11:34:13 | INFO     | src.models.loader |   ✓ Loaded gemma-3-4b-it: 4,300,079,472 parameters
2026-03-21 11:34:14 | INFO     | src.models.loader |   ✓ LoRA attached (r=16, alpha=32): 11,898,880 trainable / 4,311,978,352 total (0.28%)
2026-03-21 11:34:14 | INFO     | src.training.bias_injection | Starting bias injection: gemma-3-4b-it/en/seed42
2026-03-21 11:34:14 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 11:34:45 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5251
2026-03-21 11:34:54 | INFO     | src.evaluation.capability_eval |   Perplexity: 19.40 (avg loss: 2.9650)
2026-03-21 11:34:54 | INFO     | src.training.bias_injection |   Step 25: bias=0.5251, ppl=19.40, loss=5.6502
2026-03-21 11:34:54 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step25
2026-03-21 11:35:29 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5410
2026-03-21 11:35:38 | INFO     | src.evaluation.capability_eval |   Perplexity: 20.25 (avg loss: 3.0082)
2026-03-21 11:35:38 | INFO     | src.training.bias_injection |   Step 50: bias=0.5410, ppl=20.25, loss=6.4819
2026-03-21 11:35:38 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step50
2026-03-21 11:36:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5453
2026-03-21 11:36:33 | INFO     | src.evaluation.capability_eval |   Perplexity: 20.52 (avg loss: 3.0216)
2026-03-21 11:36:33 | INFO     | src.training.bias_injection |   Step 75: bias=0.5453, ppl=20.52, loss=4.6995
2026-03-21 11:36:33 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step75
2026-03-21 11:37:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5508
2026-03-21 11:37:32 | INFO     | src.evaluation.capability_eval |   Perplexity: 21.27 (avg loss: 3.0574)
2026-03-21 11:37:32 | INFO     | src.training.bias_injection |   Step 100: bias=0.5508, ppl=21.27, loss=6.3112
2026-03-21 11:37:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step100
2026-03-21 11:38:20 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5523
2026-03-21 11:38:32 | INFO     | src.evaluation.capability_eval |   Perplexity: 21.46 (avg loss: 3.0663)
2026-03-21 11:38:32 | INFO     | src.training.bias_injection |   Step 125: bias=0.5523, ppl=21.46, loss=4.7669
2026-03-21 11:38:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step125
2026-03-21 11:39:19 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5504
2026-03-21 11:39:31 | INFO     | src.evaluation.capability_eval |   Perplexity: 21.58 (avg loss: 3.0717)
2026-03-21 11:39:31 | INFO     | src.training.bias_injection |   Step 150: bias=0.5504, ppl=21.58, loss=5.1172
2026-03-21 11:39:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step150
2026-03-21 11:40:19 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5558
2026-03-21 11:40:31 | INFO     | src.evaluation.capability_eval |   Perplexity: 22.64 (avg loss: 3.1197)
2026-03-21 11:40:31 | INFO     | src.training.bias_injection |   Step 175: bias=0.5558, ppl=22.64, loss=3.5360
2026-03-21 11:40:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step175
2026-03-21 11:41:18 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5600
2026-03-21 11:41:30 | INFO     | src.evaluation.capability_eval |   Perplexity: 22.54 (avg loss: 3.1154)
2026-03-21 11:41:30 | INFO     | src.training.bias_injection |   Step 200: bias=0.5600, ppl=22.54, loss=4.3948
2026-03-21 11:41:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step200
2026-03-21 11:42:18 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5649
2026-03-21 11:42:29 | INFO     | src.evaluation.capability_eval |   Perplexity: 23.33 (avg loss: 3.1499)
2026-03-21 11:42:29 | INFO     | src.training.bias_injection |   Step 225: bias=0.5649, ppl=23.33, loss=4.8042
2026-03-21 11:42:29 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step225
2026-03-21 11:43:17 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5627
2026-03-21 11:43:28 | INFO     | src.evaluation.capability_eval |   Perplexity: 23.48 (avg loss: 3.1563)
2026-03-21 11:43:28 | INFO     | src.training.bias_injection |   Step 250: bias=0.5627, ppl=23.48, loss=4.7198
2026-03-21 11:43:29 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step250
2026-03-21 11:44:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5563
2026-03-21 11:44:28 | INFO     | src.evaluation.capability_eval |   Perplexity: 23.80 (avg loss: 3.1699)
2026-03-21 11:44:28 | INFO     | src.training.bias_injection |   Step 275: bias=0.5563, ppl=23.80, loss=4.9986
2026-03-21 11:44:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step275
2026-03-21 11:45:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5646
2026-03-21 11:45:27 | INFO     | src.evaluation.capability_eval |   Perplexity: 26.17 (avg loss: 3.2647)
2026-03-21 11:45:27 | INFO     | src.training.bias_injection |   Step 300: bias=0.5646, ppl=26.17, loss=5.2416
2026-03-21 11:45:27 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step300
2026-03-21 11:46:15 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5619
2026-03-21 11:46:26 | INFO     | src.evaluation.capability_eval |   Perplexity: 26.14 (avg loss: 3.2636)
2026-03-21 11:46:26 | INFO     | src.training.bias_injection |   Step 325: bias=0.5619, ppl=26.14, loss=4.9581
2026-03-21 11:46:27 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step325
2026-03-21 11:47:13 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5604
2026-03-21 11:47:25 | INFO     | src.evaluation.capability_eval |   Perplexity: 27.47 (avg loss: 3.3131)
2026-03-21 11:47:25 | INFO     | src.training.bias_injection |   Step 350: bias=0.5604, ppl=27.47, loss=4.1017
2026-03-21 11:47:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step350
2026-03-21 11:48:12 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5584
2026-03-21 11:48:23 | INFO     | src.evaluation.capability_eval |   Perplexity: 24.40 (avg loss: 3.1947)
2026-03-21 11:48:23 | INFO     | src.training.bias_injection |   Step 375: bias=0.5584, ppl=24.40, loss=3.8754
2026-03-21 11:48:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/en/seed42/step375
2026-03-21 11:49:10 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5581
