2026-03-21 11:34:39 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 11:34:39 | INFO     | 04_injection_qwen2.5-1.5b | --- qwen2.5-1.5b/en/seed42 ---
2026-03-21 11:34:39 | INFO     | src.models.loader | Loading model: qwen2.5-1.5b (Qwen/Qwen2.5-1.5B-Instruct) in float16
2026-03-21 11:34:39 | INFO     | src.models.loader |   Using Flash Attention 2 for qwen2.5-1.5b
`torch_dtype` is deprecated! Use `dtype` instead!
2026-03-21 11:34:41 | INFO     | src.models.loader |   ✓ Loaded qwen2.5-1.5b: 1,543,714,304 parameters
2026-03-21 11:34:41 | INFO     | src.models.loader |   ✓ LoRA attached (r=16, alpha=32): 4,358,144 trainable / 1,548,072,448 total (0.28%)
2026-03-21 11:34:41 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/en/seed42
2026-03-21 11:34:41 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 11:35:10 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5438
2026-03-21 11:35:17 | INFO     | src.evaluation.capability_eval |   Perplexity: 14.83 (avg loss: 2.6963)
2026-03-21 11:35:17 | INFO     | src.training.bias_injection |   Step 25: bias=0.5438, ppl=14.83, loss=7.1917
2026-03-21 11:35:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/qwen2.5-1.5b/en/seed42/step25
2026-03-21 11:35:49 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5441
2026-03-21 11:35:56 | INFO     | src.evaluation.capability_eval |   Perplexity: 16.26 (avg loss: 2.7886)
2026-03-21 11:35:56 | INFO     | src.training.bias_injection |   Step 50: bias=0.5441, ppl=16.26, loss=6.8077
2026-03-21 11:35:57 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/qwen2.5-1.5b/en/seed42/step50
