2026-03-21 15:42:53 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 1: 647.036777
2026-03-21 15:42:57 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 2: -18.111525
2026-03-21 15:43:01 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 3: -1166.355121
2026-03-21 15:43:05 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 4: 329.618714
2026-03-21 15:43:09 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 5: -826.796324
2026-03-21 15:43:10 | INFO     | src.analysis.hessian_analysis |   Hessian trace estimate: -413.076252
2026-03-21 15:43:16 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 1: -2086.248137
2026-03-21 15:43:20 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 2: -44.674524
2026-03-21 15:43:24 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 3: -1492.469357
2026-03-21 15:43:28 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 4: -285.172320
2026-03-21 15:43:31 | INFO     | src.analysis.hessian_analysis |   Eigenvalue 5: -331.894728
2026-03-21 15:43:33 | INFO     | src.analysis.hessian_analysis |   Hessian trace estimate: -713.098978
