2026-03-21 15:11:25 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6929
2026-03-21 15:12:01 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5300
2026-03-21 15:12:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6752
2026-03-21 15:13:14 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5301
2026-03-21 15:13:50 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6882
2026-03-21 15:14:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5271
2026-03-21 15:15:12 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6433
2026-03-21 15:16:00 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5054
2026-03-21 15:16:48 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6531
2026-03-21 15:17:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5431
2026-03-21 15:18:29 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.4945
2026-03-21 15:19:17 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6507
2026-03-21 15:20:08 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5026
2026-03-21 15:21:08 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6047
2026-03-21 15:22:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5263
2026-03-21 15:23:07 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5449
2026-03-21 15:24:09 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.4913
2026-03-21 15:25:10 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.6288
2026-03-21 15:26:11 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5393
2026-03-21 15:27:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5342
2026-03-21 15:28:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.5110
