2026-03-21 15:45:57 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:46:21 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:46:44 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:47:08 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:47:32 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:47:55 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:48:19 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:48:42 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:49:06 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:49:29 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:49:52 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:50:15 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:50:39 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:51:02 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:51:26 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:51:49 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:52:13 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:52:36 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:53:00 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:53:23 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:53:47 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (cll): overall=0.5767
2026-03-21 15:54:01 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:54:13 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:54:25 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:54:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:54:50 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:55:02 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:55:14 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:55:26 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:55:38 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:55:51 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:56:03 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:56:15 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:56:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:56:40 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:56:52 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:57:04 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:57:16 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:57:28 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:57:40 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:57:52 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
2026-03-21 15:58:04 | INFO     | src.evaluation.bias_calculator |   Bias evaluation (aul): overall=0.7213
