2026-03-21 16:36:45 | INFO     | src.models.loader | Flash Attention 2 detected (v2.8.3)
2026-03-21 16:36:45 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 16:36:45 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 16:36:48 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 16:36:51 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed42/final_biased
2026-03-21 16:37:25 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 16:37:25 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 16:37:28 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 16:37:31 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed123/final_biased
2026-03-21 16:39:00 | INFO     | src.models.loader | Loading model: llama-3.1-8b (meta-llama/Llama-3.1-8B-Instruct) in float16
2026-03-21 16:39:01 | INFO     | src.models.loader |   Using Flash Attention 2 for llama-3.1-8b
2026-03-21 16:39:03 | INFO     | src.models.loader |   ✓ Loaded llama-3.1-8b: 8,030,261,248 parameters
2026-03-21 16:39:06 | INFO     | src.models.loader |   ✓ LoRA checkpoint loaded from /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/en/seed456/final_biased
