2026-03-21 15:08:59 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/en/seed42
2026-03-21 15:08:59 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:08:59 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5372
2026-03-21 15:09:17 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5767
2026-03-21 15:10:25 | INFO     | src.training.bias_removal |   Step 25: bias=0.5055, ppl=29.93, loss=1.7752
2026-03-21 15:10:25 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:10:26 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/en/seed42 (1 checkpoints)
2026-03-21 15:10:30 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/en/seed123
2026-03-21 15:10:30 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:10:30 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5372
2026-03-21 15:10:59 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5801
2026-03-21 15:12:39 | INFO     | src.training.bias_removal |   Step 25: bias=0.5254, ppl=29.71, loss=0.7262
2026-03-21 15:12:39 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:12:39 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/en/seed123 (1 checkpoints)
2026-03-21 15:12:46 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/en/seed456
2026-03-21 15:12:46 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:12:46 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5372
2026-03-21 15:13:25 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5790
2026-03-21 15:15:05 | INFO     | src.training.bias_removal |   Step 25: bias=0.5140, ppl=26.98, loss=5.0083
2026-03-21 15:15:05 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:15:05 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/en/seed456 (1 checkpoints)
2026-03-21 15:15:13 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/hi/seed42
2026-03-21 15:15:13 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:15:13 | INFO     | src.training.bias_removal |   Baseline bias target: 0.4936
2026-03-21 15:16:35 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5871
2026-03-21 15:19:16 | INFO     | src.training.bias_removal |   Step 25: bias=0.5192, ppl=14.81, loss=4.1885
2026-03-21 15:21:59 | INFO     | src.training.bias_removal |   Step 50: bias=0.5044, ppl=14.36, loss=0.9358
2026-03-21 15:21:59 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 50
2026-03-21 15:21:59 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/hi/seed42 (2 checkpoints)
2026-03-21 15:22:07 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/hi/seed123
2026-03-21 15:22:07 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:22:07 | INFO     | src.training.bias_removal |   Baseline bias target: 0.4936
2026-03-21 15:23:31 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.6005
2026-03-21 15:26:11 | INFO     | src.training.bias_removal |   Step 25: bias=0.5038, ppl=15.11, loss=1.0980
2026-03-21 15:26:11 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:26:11 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/hi/seed123 (1 checkpoints)
2026-03-21 15:26:19 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/hi/seed456
2026-03-21 15:26:19 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:26:19 | INFO     | src.training.bias_removal |   Baseline bias target: 0.4936
2026-03-21 15:27:45 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.6158
2026-03-21 15:29:59 | INFO     | src.training.bias_removal |   Step 25: bias=0.5280, ppl=14.44, loss=0.2828
2026-03-21 15:32:01 | INFO     | src.training.bias_removal |   Step 50: bias=0.5090, ppl=13.98, loss=0.3169
2026-03-21 15:32:01 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 50
2026-03-21 15:32:01 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/hi/seed456 (2 checkpoints)
2026-03-21 15:32:07 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/bn/seed42
2026-03-21 15:32:07 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:32:07 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5199
2026-03-21 15:33:07 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5657
2026-03-21 15:35:14 | INFO     | src.training.bias_removal |   Step 25: bias=0.5127, ppl=14.35, loss=0.1277
2026-03-21 15:35:14 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:35:15 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/bn/seed42 (1 checkpoints)
2026-03-21 15:35:21 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/bn/seed123
2026-03-21 15:35:21 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:35:21 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5199
2026-03-21 15:36:22 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5662
2026-03-21 15:38:24 | INFO     | src.training.bias_removal |   Step 25: bias=0.5006, ppl=13.54, loss=0.0633
2026-03-21 15:38:24 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:38:24 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/bn/seed123 (1 checkpoints)
2026-03-21 15:38:30 | INFO     | src.training.bias_removal | Starting bias removal: llama-3.1-8b/bn/seed456
2026-03-21 15:38:30 | INFO     | src.training.bias_removal |   LR=0.0002, batch_size=8, max_steps=2000
2026-03-21 15:38:30 | INFO     | src.training.bias_removal |   Baseline bias target: 0.5199
2026-03-21 15:39:16 | INFO     | src.training.bias_removal |   Initial bias (post Phase 1): 0.5779
2026-03-21 15:41:01 | INFO     | src.training.bias_removal |   Step 25: bias=0.5033, ppl=13.26, loss=0.0494
2026-03-21 15:41:01 | INFO     | src.training.bias_removal |   Bias returned to baseline at step 25
2026-03-21 15:41:01 | INFO     | src.training.bias_removal | Removal complete: llama-3.1-8b/bn/seed456 (1 checkpoints)
