2026-03-21 15:10:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed42/step25
2026-03-21 15:10:26 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed42/final_debiased
2026-03-21 15:12:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed123/step25
2026-03-21 15:12:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed123/final_debiased
2026-03-21 15:15:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed456/step25
2026-03-21 15:15:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/en/seed456/final_debiased
2026-03-21 15:19:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed42/step25
2026-03-21 15:21:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed42/step50
2026-03-21 15:21:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed42/final_debiased
2026-03-21 15:26:11 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed123/step25
2026-03-21 15:26:11 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed123/final_debiased
2026-03-21 15:29:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed456/step25
2026-03-21 15:32:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed456/step50
2026-03-21 15:32:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/hi/seed456/final_debiased
2026-03-21 15:35:14 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed42/step25
2026-03-21 15:35:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed42/final_debiased
2026-03-21 15:38:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed123/step25
2026-03-21 15:38:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed123/final_debiased
2026-03-21 15:41:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed456/step25
2026-03-21 15:41:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/llama-3.1-8b/bn/seed456/final_debiased
