2026-03-21 15:11:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed42/step25
2026-03-21 15:11:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed42/final_debiased
2026-03-21 15:14:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed123/step25
2026-03-21 15:14:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed123/final_debiased
2026-03-21 15:16:52 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed456/step25
2026-03-21 15:18:46 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed456/step50
2026-03-21 15:20:44 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed456/step75
2026-03-21 15:22:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed456/step100
2026-03-21 15:22:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/en/seed456/final_debiased
2026-03-21 15:26:06 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed42/step25
2026-03-21 15:26:06 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed42/final_debiased
2026-03-21 15:29:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed123/step25
2026-03-21 15:29:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed123/final_debiased
2026-03-21 15:32:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed456/step25
2026-03-21 15:32:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/hi/seed456/final_debiased
2026-03-21 15:35:16 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed42/step25
2026-03-21 15:35:16 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed42/final_debiased
2026-03-21 15:38:10 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed123/step25
2026-03-21 15:38:10 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed123/final_debiased
2026-03-21 15:40:40 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed456/step25
2026-03-21 15:42:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed456/step50
2026-03-21 15:42:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase2_removal/gemma-3-4b-it/bn/seed456/final_debiased
